from,to
1476,Gunnedah
1477,Casey
1478,Grant
1479,Lockyer Valley
1480,Whitsunday
1481,Moreton Bay
1482,Boroondara
1483,Hornsby
1484,Mitcham
1485,Mid-Western
1486,Eurobodalla
1487,Southern Downs
1488,Sunshine Coast
1489,Casey
1490,Parramatta
1491,Whitsunday
1492,East Gippsland
1493,Singleton
1494,The Hills
1495,Cassowary Coast
1496,Gympie
1497,Mitchell
1498,Moyne
1499,Ryde
1500,Logan
1501,Wangaratta
1502,Shellharbour
1503,Moreton Bay
1504,Upper Lachlan
1505,Swan Hill
1506,Whitsunday
1507,Wyndham
1508,Mount Barker
1509,Darwin
1510,Launceston
1511,Sutherland
1512,Golden Plains
1513,Townsville
1514,Mitchell
1515,Port Stephens
1516,Western Downs
1517,Frankston
1518,Scenic Rim
1519,Logan
1520,Charters Towers
