crashID,age,gender,roadUser,ageGroup,personID
20182019,39,Male,Pedestrian,26_to_39,P6343
20181148,81,Male,Pedestrian,75_or_older,P6344
20182110,74,Female,Driver,65_to_74,P6345
20183085,48,Male,Pedal cyclist,40_to_64,P6346
20184002,19,Male,Passenger,17_to_25,P6347
20181077,20,Male,Motorcycle rider,17_to_25,P6348
20184005,62,Male,Motorcycle rider,40_to_64,P6349
20186001,65,Male,Driver,65_to_74,P6350
20182023,28,Male,Motorcycle rider,26_to_39,P6351
20187026,58,Male,Driver,40_to_64,P6352
20184031,35,Male,Driver,26_to_39,P6353
20182181,62,Male,Motorcycle rider,40_to_64,P6354
20185067,71,Male,Driver,65_to_74,P6355
20181214,79,Male,Pedestrian,75_or_older,P6356
20181059,29,Male,Motorcycle rider,26_to_39,P6357
20183020,60,Male,Driver,40_to_64,P6358
20182004,12,Male,Passenger,0_to_16,P6359
20182004,37,Female,Driver,26_to_39,P6360
20182002,51,Male,Motorcycle rider,40_to_64,P6361
20183126,26,Male,Driver,26_to_39,P6362
20185016,22,Male,Driver,17_to_25,P6363
20181302,37,Male,Driver,26_to_39,P6364
20187029,42,Male,Motorcycle rider,40_to_64,P6365
20183029,44,Male,Pedal cyclist,40_to_64,P6366
20183171,46,Female,Driver,40_to_64,P6367
20183171,12,Female,Passenger,0_to_16,P6368
20184030,19,Female,Driver,17_to_25,P6369
20181031,71,Male,Driver,65_to_74,P6370
20182116,92,Male,Pedestrian,75_or_older,P6371
20181159,87,Male,Pedestrian,75_or_older,P6372
20183139,18,Female,Driver,17_to_25,P6373
20181018,70,Male,Pedestrian,65_to_74,P6374
