crash_id,person_id
20243263,20243263_Driver_Female_68_65_to_74
20242016,20242016_Driver_Male_30_26_to_39
20244017,20244017_Motorcycle rider_Male_66_65_to_74
20244009,20244009_Pedal cyclist_Male_54_40_to_64
20242085,20242085_Passenger_Female_81_75_or_older
20244012,20244012_Driver_Male_68_65_to_74
20243205,20243205_Driver_Male_45_40_to_64
20241035,20241035_Pedestrian_Male_78_75_or_older
20241161,20241161_Pedestrian_Male_27_26_to_39
20241062,20241062_Motorcycle rider_Male_68_65_to_74
20243119,20243119_Motorcycle rider_Male_36_26_to_39
20241155,20241155_Motorcycle rider_Male_22_17_to_25
20243152,20243152_Driver_Male_51_40_to_64
20243053,20243053_Driver_Male_27_26_to_39
20241039,20241039_Pedal cyclist_Male_47_40_to_64
20242154,20242154_Passenger_Male_43_40_to_64
20242154,20242154_Passenger_Male_34_26_to_39
20243215,20243215_Driver_Male_84_75_or_older
20243026,20243026_Motorcycle rider_Male_25_17_to_25
20241050,20241050_Driver_Male_22_17_to_25
20243271,20243271_Driver_Female_63_40_to_64
20241133,20241133_Driver_Male_25_17_to_25
20248008,20248008_Motorcycle rider_Male_47_40_to_64
20244037,20244037_Driver_Male_73_65_to_74
