crashID,dayType,timeOfDay
20231062,Weekday,Night
20233191,Weekday,Night
20234087,Weekday,Night
20232150,Weekday,Night
20233144,Weekday,Night
20233208,Weekday,Day
20233212,Weekday,Day
20234032,Weekday,Day
20232125,Weekday,Day
20231234,Weekday,Day
20233121,Weekday,Day
20232081,Weekday,Day
20233098,Weekday,Day
20233070,Weekday,Day
20233040,Weekday,Day
20236027,Weekday,Day
20232239,Weekday,Day
20231245,Weekday,Day
20231097,Weekday,Day
20232152,Weekend,Night
20231022,Weekend,Night
20231117,Weekend,Night
20231164,Weekend,Night
20231019,Weekend,Night
20233175,Weekday,Day
20233015,Weekday,Day
20231043,Weekday,Day
20234057,Weekday,Day
20234105,Weekday,Day
20233214,Weekday,Day
20234035,Weekday,Day
20231067,Weekday,Day
20231085,Weekday,Day
20231026,Weekday,Night
20233263,Weekday,Night
20237021,Weekday,Night
20231214,Weekend,Night
20232181,Weekend,Night
20231086,Weekend,Night
20232076,Weekend,Night
20233053,Weekend,Night
20233250,Weekend,Night
20233118,Weekend,Day
