personID,crashID
P1699,20232032
P1700,20232032
P1701,20232032
P1702,20232032
P1703,20232032
P1704,20231203
P1705,20231148
P1706,20233248
P1707,20231050
P1708,20232159
P1709,20232029
P1710,20233230
P1711,20234104
P1712,20231192
P1713,20234098
P1714,20231132
P1715,20231132
P1716,20231132
P1717,20231132
P1718,20233042
P1719,20231224
P1720,20231003
P1721,20233064
P1722,20231254
P1723,20233060
P1724,20233061
P1725,20233115
P1726,20233260
P1727,20233227
P1728,20231230
P1729,20236020
P1730,20234019
P1731,20234096
P1732,20231232
P1733,20234064
P1734,20232117
P1735,20231054
P1736,20233049
P1737,20234093
P1738,20231287
P1739,20231299
P1740,20233244
P1741,20231179
P1742,20231267
P1743,20231265
P1744,20233084
P1745,20231269
P1746,20231269
P1747,20231269
P1748,20233025
P1749,20234037
P1750,20234037
P1751,20234030
P1752,20231144
P1753,20233207
P1754,20234060
P1755,20233099
P1756,20232014
P1757,20231216
P1758,20234069
P1759,20231172
P1760,20233177
P1761,20232064
P1762,20232064
P1763,20231120
P1764,20231030
P1765,20233257
P1766,20233057
P1767,20233178
P1768,20231233
P1769,20231233
P1770,20231233
P1771,20234008
P1772,20232175
P1773,20232197
P1774,20231186
P1775,20232212
P1776,20231235
P1777,20233219
P1778,20232151
P1779,20233010
P1780,20231058
P1781,20236015
P1782,20232070
P1783,20234054
P1784,20237002
P1785,20232206
P1786,20232206
P1787,20234090
P1788,20231049
P1789,20232220
P1790,20231134
P1791,20234041
P1792,20233217
P1793,20231239
P1794,20231202
P1795,20234009
P1796,20233194
P1797,20233187
P1798,20231105
P1799,20232134
P1800,20231077
P1801,20231031
P1802,20234065
P1803,20232091
P1804,20236023
P1805,20234024
P1806,20234024
P1807,20232010
P1808,20233077
P1809,20231094
P1810,20231055
P1811,20231270
P1812,20231246
P1813,20231275
P1814,20237020
P1815,20234100
P1816,20234073
P1817,20233220
P1818,20236002
P1819,20231110
P1820,20233028
P1821,20234074
P1822,20233168
P1823,20234047
P1824,20233171
P1825,20233055
P1826,20232109
P1827,20234049
P1828,20231114
P1829,20231093
P1830,20234050
P1831,20231130
P1832,20231130
P1833,20233261
P1834,20233218
P1835,20231257
P1836,20233159
P1837,20231112
P1838,20233096
P1839,20231121
P1840,20232011
P1841,20231237
P1842,20231096
P1843,20233202
P1844,20231017
P1845,20231017
P1846,20232229
P1847,20233216
P1848,20231169
P1849,20231181
P1850,20231215
P1851,20231199
P1852,20236030
P1853,20234092
P1854,20231212
P1855,20234040
P1856,20231208
P1857,20231069
P1858,20232149
P1859,20233082
P1860,20232140
P1861,20232167
P1862,20232075
P1863,20234028
P1864,20231276
P1865,20234072
P1866,20234075
P1867,20232053
P1868,20233037
