crash_id,sa4_name
20241284,Southern Highlands and Shoalhaven
20242218,Geelong
20241008,Central Coast
20244075,Adelaide - North
20242147,Melbourne - Inner
20248010,Australian Capital Territory
20234108,Adelaide - North
20234099,Adelaide - North
20233145,Ipswich
20236026,West and North West
20233259,Darling Downs - Maranoa
20236028,West and North West
20231088,Central West
20231189,New England and North West
20232156,Melbourne - South East
20233100,Townsville
20231103,Sydney - South West
20232192,North West
20233056,Central Queensland
20231091,Riverina
20232211,Hume
20231104,Southern Highlands and Shoalhaven
20231155,Sydney - Blacktown
20232098,Geelong
20232128,North West
20233085,Ipswich
20234027,Barossa - Yorke - Mid North
20232061,Bendigo
20234033,Barossa - Yorke - Mid North
20232044,Geelong
20232250,Melbourne - West
20233231,Brisbane Inner City
20231020,Hunter Valley exc Newcastle
20231115,Capital Region
20231038,Riverina
20231108,Central West
20231281,Southern Highlands and Shoalhaven
20233078,Toowoomba
20231261,Hunter Valley exc Newcastle
20233258,Moreton Bay - North
20236009,Launceston and North East
20232237,Melbourne - South East
20232188,Melbourne - Outer East
20233165,Gold Coast
20231098,Central West
20234029,Adelaide - Central and Hills
20231102,Richmond - Tweed
20231198,Sydney - City and Inner South
20231129,Central West
20231231,Illawarra
20233120,Moreton Bay - North
20232196,Melbourne - Inner East
20234053,South Australia - Outback
20232240,Melbourne - South East
20231095,Central Coast
20232119,Melbourne - North East
20232243,Hume
20234042,South Australia - South East
20232067,Melbourne - South East
20234079,Adelaide - Central and Hills
20231023,Sydney - South West
20233221,Darling Downs - Maranoa
20233081,Wide Bay
20231076,Murray
20232045,Melbourne - Outer East
20236006,South East
20234061,South Australia - South East
20232201,Melbourne - South East
20236025,West and North West
20233189,Central Queensland
20233111,Sunshine Coast
20232097,Melbourne - Inner East
20233036,Ipswich
20231250,New England and North West
20233228,Wide Bay
20234084,South Australia - Outback
20232009,Hume
20231145,New England and North West
20231056,Murray
20232115,Melbourne - Outer East
20233012,Sunshine Coast
20232018,Mornington Peninsula
20233200,Brisbane - North
20233110,Townsville
20233154,Wide Bay
20231223,New England and North West
20234067,Adelaide - Central and Hills
20231182,Riverina
20238004,Australian Capital Territory
20231173,Murray
20233155,Central Queensland
20233161,Central Queensland
20234020,Adelaide - Central and Hills
20231052,Sydney - City and Inner South
20231296,Mid North Coast
20231143,Newcastle and Lake Macquarie
20234021,Adelaide - North
20231302,Central West
20231285,Capital Region
20231178,Sydney - Sutherland
20234031,South Australia - South East
20237013,Darwin
20233136,Sunshine Coast
20233051,Townsville
20231229,Sydney - South West
20233176,Mackay - Isaac - Whitsunday
20234068,Barossa - Yorke - Mid North
20231044,Sydney - South West
20231190,New England and North West
20236012,West and North West
20233205,Townsville
20233074,Cairns
20233050,Central Queensland
20231045,New England and North West
20231205,Capital Region
20234025,South Australia - South East
20231119,Mid North Coast
20231272,Sydney - Inner South West
20233139,Cairns
20233043,Moreton Bay - North
20231256,Capital Region
20234018,Adelaide - West
20231278,Riverina
20233008,Sunshine Coast
20234063,Adelaide - Central and Hills
20233069,Wide Bay
20234017,Adelaide - North
20231029,Sydney - Baulkham Hills and Hawkesbury
20231111,Riverina
20234034,Adelaide - West
20231160,Hunter Valley exc Newcastle
20233224,Queensland - Outback
20231139,Richmond - Tweed
20231303,Sydney - South West
20231283,Central West
20231141,Sydney - Blacktown
20231206,Central West
20233017,Mackay - Isaac - Whitsunday
20231175,Sydney - Inner South West
20233073,Gold Coast
20233114,Brisbane - West
20231064,Southern Highlands and Shoalhaven
20233032,Wide Bay
20233063,Queensland - Outback
20231271,Central West
20234094,Adelaide - West
20231152,Central West
20231068,Riverina
20233020,Darling Downs - Maranoa
20233134,Mackay - Isaac - Whitsunday
20233198,Queensland - Outback
20231252,Illawarra
20231227,Central West
20231292,Hunter Valley exc Newcastle
20232065,Melbourne - North East
20232171,Melbourne - South East
20232063,Shepparton
20232074,Warrnambool and South West
20231288,Sydney - Sutherland
20232170,Warrnambool and South West
20231133,Mid North Coast
20231249,Richmond - Tweed
20231171,Capital Region
20233196,Brisbane Inner City
20233245,Townsville
20231025,Far West and Orana
20231244,Central West
20232118,Melbourne - South East
20231128,Central Coast
20232048,Latrobe - Gippsland
20236004,Hobart
20232204,Melbourne - Outer East
20231251,Illawarra
20231263,Far West and Orana
20231078,Sydney - Northern Beaches
20233251,Wide Bay
20234077,Barossa - Yorke - Mid North
20236003,Hobart
20233246,Ipswich
20232248,Geelong
20237008,Darwin
20232026,Ballarat
20233170,Wide Bay
20233210,Wide Bay
20233076,Mackay - Isaac - Whitsunday
20233131,Gold Coast
20233133,Moreton Bay - South
20232124,Mornington Peninsula
20232136,Mornington Peninsula
20233183,Townsville
20232022,Hume
20231168,Sydney - City and Inner South
