crash_id,lga_name
20232257,Moyne
20231146,Kempsey
20231028,Carrathool
20233029,Gold Coast
20233254,Bundaberg
20233241,Barcoo
20231089,Bathurst
20233180,Brisbane
20233193,Scenic Rim
20232225,Ballarat
20231027,Campbelltown (NSW)
20231180,Parramatta
20231156,Richmond Valley
20231092,Wollondilly
20231162,Ballina
20236017,Circular Head
20233117,Mareeba
20233119,Isaac
20233123,Southern Downs
20234036,Wattle Range
20232153,Latrobe (Vic.)
20233152,Whitsunday
20232138,Brimbank
20234011,Mid Murray
20233105,Gladstone
20232258,Baw Baw
20233232,Gympie
20231204,Dubbo
20234071,Port Adelaide Enfield
20231259,Eurobodalla
20232210,Indigo
20233181,Burdekin
20232087,Yarra Ranges
20237005,Palmerston
20232131,Hobsons Bay
20233135,Whitsunday
20231153,Temora
20236005,Latrobe (Tas.)
20232068,Moira
20232007,Nillumbik
20233102,Toowoomba
20233005,Townsville
20231291,Central Coast (NSW)
20234038,Tatiara
